6.94,6.451,39.95,1010,2816,2008
7.11,6.448,59.99,1012,1878,2017
6.87,6.446,44.99,1015,2778,2009
7.50,6.446,69.99,1016,1108,2017
6.78,6.443,14.99,1018,3624,2011
7.62,6.442,79.98,1021,1043,2018
7.49,6.441,80.00,1024,1213,2018
6.81,6.438,39.99,1028,3314,2008
6.72,6.437,39.99,1029,4310,1994
6.92,6.437,12.00,1030,2517,2016
7.11,6.437,49.99,1031,1888,2015
6.81,6.436,49.99,1033,3308,1994
7.18,6.435,14.95,1034,1520,2017
7.63,6.434,59.99,1035,1046,2010
7.48,6.432,89.99,1037,1422,2009
7.54,6.432,149.00,1038,1255,1985
6.82,6.431,14.99,1039,3240,2012
7.55,6.430,59.99,1041,1023,2018
7.13,6.430,49.99,1044,1692,2017
7.13,6.429,14.95,1045,1613,2017
6.86,6.425,79.99,1047,3134,2012
6.93,6.424,42.00,1048,2694,1982
6.61,6.424,24.99,1051,6567,2012
7.15,6.424,64.99,1053,1917,2017
6.54,6.423,14.99,1054,17662,1998
7.61,6.420,59.95,1058,959,2017
7.05,6.419,39.99,1059,1842,2005
6.72,6.419,39.99,1061,5010,1978
6.94,6.418,39.99,1063,2277,2016
7.54,6.416,41.22,1068,1730,2013
6.84,6.416,49.99,1069,2757,2013
6.68,6.416,34.99,1070,5290,1997
7.17,6.416,24.99,1071,1599,2017
7.82,6.416,99.99,1072,906,2017
7.16,6.413,34.99,1074,1632,2013
6.85,6.413,39.99,1075,2682,2003
6.73,6.410,29.99,1078,3697,2014
6.90,6.410,39.99,1079,2270,2006
6.64,6.410,29.99,1080,6102,2014
6.74,6.408,39.99,1084,3861,2009
6.86,6.407,24.99,1086,2539,2014
6.81,6.406,19.95,1087,2791,1992
7.84,6.405,56.12,1089,793,2018
7.22,6.401,39.99,1096,1469,2013
7.55,6.400,34.95,1098,1036,2018
6.94,6.399,19.99,1102,2115,2013
6.98,6.398,49.99,1103,1998,2011
6.87,6.397,35.99,1107,2439,2012
6.96,6.397,54.99,1108,2071,2014
6.92,6.397,37.99,1110,2509,2008
7.26,6.396,59.99,1111,1376,2016
6.61,6.393,11.99,1112,5950,2004
7.21,6.393,49.79,1114,1695,2017
6.85,6.390,19.99,1117,2515,2014
6.95,6.390,34.95,1118,2287,2017
6.58,6.390,64.99,1119,7609,2002
7.35,6.389,59.99,1120,1176,2013
7.48,6.389,49.99,1121,1120,2013
6.52,6.389,19.99,1122,23168,2002
6.80,6.389,19.99,1124,2978,2013
7.62,6.388,34.99,1125,918,2015
7.19,6.388,39.99,1126,1681,2013
6.69,6.387,44.99,1127,6305,2001
7.22,6.385,64.99,1129,1326,2010
